teks,label,clean_text
Pelayanan humas Pupuk Iskandar Muda sangat ramah dan informatif,positif,pelayanan humas pupuk iskandar muda ramah informatif
Informasi yang disampaikan perusahaan sangat jelas dan mudah dipahami,positif,informasi perusahaan mudah dipahami
Program CSR Pupuk Iskandar Muda sangat membantu masyarakat sekitar,positif,program csr pupuk iskandar muda membantu masyarakat
Publikasi kegiatan perusahaan sangat transparan,positif,publikasi kegiatan perusahaan transparan
Humas cepat merespon pertanyaan masyarakat,positif,humas cepat merespon masyarakat
Konten media sosial PIM sangat edukatif,positif,konten media sosial pim edukatif
Saya bangga dengan kontribusi Pupuk Iskandar Muda untuk daerah,positif,bangga kontribusi pupuk iskandar muda daerah
Informasi lowongan kerja disampaikan dengan baik,positif,informasi lowongan kerja
Kegiatan sosial perusahaan sangat bermanfaat,positif,kegiatan sosial perusahaan bermanfaat
Komunikasi perusahaan dengan masyarakat terjalin baik,positif,komunikasi perusahaan masyarakat terjalin
Postingan humas cukup informatif,netral,postingan humas informatif
Informasi yang diberikan standar saja,netral,informasi standar
Pengumuman kegiatan sudah jelas,netral,pengumuman kegiatan
Berita perusahaan biasa saja,netral,berita perusahaan
Tidak ada masalah dengan informasi yang disampaikan,netral,informasi
Publikasi perusahaan cukup rutin,netral,publikasi perusahaan rutin
Konten media sosial tidak terlalu menarik,netral,konten media sosial menarik
Informasi disampaikan singkat,netral,informasi singkat
Humas menyampaikan berita sesuai fakta,netral,humas berita sesuai fakta
Pengumuman acara sudah sesuai jadwal,netral,pengumuman acara sesuai jadwal
Pelayanan humas kurang cepat,negatif,pelayanan humas cepat
Admin media sosial jarang membalas komentar,negatif,admin media sosial jarang membalas komentar
Informasi yang disampaikan kurang lengkap,negatif,informasi lengkap
Respon humas terlalu lama,negatif,respon humas
Publikasi kegiatan kurang menarik,negatif,publikasi kegiatan menarik
Kurang transparan dalam menyampaikan informasi,negatif,transparan informasi
Pengumuman sering terlambat,negatif,pengumuman terlambat
Konten media sosial membosankan,negatif,konten media sosial membosankan
Humas kurang komunikatif,negatif,humas komunikatif
Banyak pertanyaan masyarakat tidak dijawab,negatif,masyarakat
Pelayanan perusahaan semakin baik dari waktu ke waktu,positif,pelayanan perusahaan
Program lingkungan perusahaan patut diapresiasi,positif,program lingkungan perusahaan patut diapresiasi
Humas selalu memberikan klarifikasi yang jelas,positif,humas klarifikasi
Informasi krisis disampaikan dengan baik,positif,informasi krisis
Perusahaan aktif membangun citra positif,positif,perusahaan aktif membangun citra positif
Komunikasi digital perusahaan semakin bagus,positif,komunikasi digital perusahaan bagus
Media sosial PIM dikelola dengan profesional,positif,media sosial pim dikelola profesional
Informasi kegiatan pabrik disampaikan terbuka,positif,informasi kegiatan pabrik terbuka
Berita perusahaan mudah diakses publik,positif,berita perusahaan mudah diakses publik
Humas bekerja dengan sangat baik,positif,humas
Informasi hanya berupa pengumuman singkat,netral,informasi pengumuman singkat
Postingan hanya berisi dokumentasi kegiatan,netral,postingan berisi dokumentasi kegiatan
Konten bersifat formal,netral,konten bersifat formal
Bahasa yang digunakan cukup resmi,netral,bahasa resmi
Informasi sesuai dengan kegiatan perusahaan,netral,informasi sesuai kegiatan perusahaan
Publikasi dilakukan secara berkala,netral,publikasi berkala
Tidak banyak interaksi di kolom komentar,netral,interaksi kolom komentar
Berita perusahaan tidak menimbulkan reaksi khusus,netral,berita perusahaan menimbulkan reaksi khusus
Informasi bersifat satu arah,netral,informasi bersifat arah
Konten tidak terlalu informatif,netral,konten informatif
Humas kurang aktif di media sosial,negatif,humas aktif media sosial
Komentar publik sering diabaikan,negatif,komentar publik diabaikan
Respon terhadap kritik sangat lambat,negatif,respon kritik lambat
Informasi penting tidak dijelaskan secara detail,negatif,informasi detail
Media sosial kurang dikelola dengan baik,negatif,media sosial dikelola
Kurangnya komunikasi dengan masyarakat,negatif,kurangnya komunikasi masyarakat
Banyak keluhan yang tidak ditanggapi,negatif,keluhan ditanggapi
Publikasi terlihat tidak konsisten,negatif,publikasi konsisten
Humas terkesan pasif,negatif,humas terkesan pasif
Informasi perusahaan sulit dipahami,negatif,informasi perusahaan sulit dipahami
